,open,high,low,close,volume,trade_count,vwap,symbol
2020-09-04,402.7,428.0,372.0201,418.32,110323962,2140716,402.309429,TSLA
2020-09-08,355.5,368.74,329.88,330.21,115477579,2271277,348.010563,TSLA
2020-09-09,356.99,369.0,341.51,366.28,79473343,1435186,355.531973,TSLA
2020-09-10,387.44,398.99,360.56,371.34,84931238,1411329,381.977377,TSLA
2020-09-11,381.9,382.5,360.5,372.72,60717493,904938,370.274151,TSLA
2020-09-14,381.21,420.0,373.3,419.62,83021062,1327704,401.179196,TSLA
2020-09-15,436.95,461.94,430.7,449.76,97298511,1624947,445.450772,TSLA
2020-09-16,439.74,457.79,435.31,441.76,72554963,1111986,446.735062,TSLA
2020-09-17,416.15,437.79,408.0001,423.43,76779427,1187825,425.275124,TSLA
2020-09-18,448.74,451.0,428.8,442.15,86407031,1244892,441.891942,TSLA
2020-09-21,453.21,455.68,407.07,449.39,109477152,1798886,439.660191,TSLA
2020-09-22,429.27,437.76,417.6001,424.23,79580811,1406582,426.150014,TSLA
2020-09-23,405.43,412.15,375.8801,380.36,95373118,1813293,391.641287,TSLA
2020-09-24,363.8,399.5,351.3,387.79,96561061,1444240,383.353318,TSLA
2020-09-25,393.31,408.7323,391.3,407.34,67208600,1013853,402.609817,TSLA
2020-09-28,424.79,428.08,415.55,421.2,49719963,861906,420.606445,TSLA
2020-09-29,416.0,428.5,411.6,419.07,50341531,832459,420.756253,TSLA
2020-09-30,420.9,433.93,420.47,429.01,48149710,805610,428.874962,TSLA
2020-10-01,440.9,448.88,434.42,448.16,50741875,871459,442.266381,TSLA
2020-10-02,421.42,439.13,415.0,415.09,71430276,1312394,426.051449,TSLA
2020-10-05,423.11,433.64,419.33,425.68,44722809,760365,425.45254,TSLA
2020-10-06,423.72,428.7799,406.05,413.98,49146554,868261,417.969584,TSLA
2020-10-07,420.0,429.9,413.845,425.3,43127759,697609,423.236223,TSLA
2020-10-08,438.57,439.0,425.3,425.92,40421127,653968,432.30527,TSLA
2020-10-09,430.13,434.5899,426.4601,434.0,29234319,480868,431.906425,TSLA
2020-10-12,442.0,448.74,438.58,442.3,38793366,682641,443.214834,TSLA
2020-10-13,443.54,448.89,436.6,446.65,34527765,602363,444.529095,TSLA
2020-10-14,449.94,465.9,447.35,461.3,48045473,839946,459.525721,TSLA
2020-10-15,450.93,456.57,442.5,448.88,35672354,644704,448.748851,TSLA
2020-10-16,454.2,455.9499,438.85,439.67,32775881,576323,447.798285,TSLA
2020-10-19,446.24,447.0,428.87,430.83,36287843,635260,437.962909,TSLA
2020-10-20,431.75,431.75,419.0501,421.94,31656385,649250,424.021309,TSLA
2020-10-21,422.57,432.95,421.25,422.64,32373590,635630,428.284049,TSLA
2020-10-22,442.02,445.23,424.51,425.79,40003604,696433,432.020311,TSLA
2020-10-23,421.32,422.8859,407.3801,420.63,33718180,716937,414.838319,TSLA
2020-10-26,410.94,425.76,410.0,420.28,28268522,531458,417.328108,TSLA
2020-10-27,423.76,430.5,420.1,424.68,22686536,405455,424.848364,TSLA
2020-10-28,416.76,418.6,406.0,406.02,25451834,600778,410.954845,TSLA
