,exchange,open,high,low,close,volume,trade_count,vwap,symbol
2021-03-08,FTXU,0.056436,0.0629425,0.0545685,0.05964,1526056,251,0.0578142108,DOGEUSD
2021-03-09,FTXU,0.059393,0.059393,0.0549385,0.0558685,1740495,136,0.057199928,DOGEUSD
2021-03-10,FTXU,0.056295,0.0577,0.0543395,0.055365,1005829,79,0.0560103549,DOGEUSD
2021-03-11,FTXU,0.0550605,0.057028,0.0546,0.056113,107545,58,0.0557039973,DOGEUSD
2021-03-12,FTXU,0.0563155,0.0563155,0.0545,0.0552,528526,41,0.0550003284,DOGEUSD
2021-03-13,FTXU,0.0552825,0.063629,0.0552825,0.06147,801718,215,0.0602310365,DOGEUSD
2021-03-14,FTXU,0.061687,0.0628005,0.058486,0.05912,826745,66,0.0611803516,DOGEUSD
2021-03-15,FTXU,0.0587535,0.0587535,0.0550315,0.056839,293243,61,0.0573233391,DOGEUSD
2021-03-16,FTXU,0.05697,0.059267,0.0558255,0.057658,120227,62,0.0580057374,DOGEUSD
2021-03-17,FTXU,0.0576195,0.05912,0.0567135,0.0579215,95159,41,0.0577508252,DOGEUSD
2021-03-18,FTXU,0.0571875,0.058432,0.056784,0.0574695,330420,33,0.0575002729,DOGEUSD
2021-03-19,FTXU,0.059229,0.059229,0.0579495,0.0584875,142558,41,0.0585347036,DOGEUSD
2021-03-20,FTXU,0.059025,0.060481,0.0580955,0.0580955,693339,81,0.0592549503,DOGEUSD
2021-03-21,FTXU,0.058125,0.058602,0.0567355,0.0579785,281574,46,0.0575681854,DOGEUSD
2021-03-22,FTXU,0.0578175,0.0578175,0.0545,0.0553315,255090,74,0.0556003596,DOGEUSD
2021-03-23,FTXU,0.0551085,0.055273,0.052314,0.0536425,699991,67,0.0538833208,DOGEUSD
2021-03-24,FTXU,0.053766,0.05663,0.049474,0.0512,254852,115,0.0525406881,DOGEUSD
2021-03-25,FTXU,0.0513465,0.052328,0.0498375,0.0515855,123002,51,0.0513188146,DOGEUSD
2021-03-26,FTXU,0.052222,0.054854,0.052222,0.053883,273957,60,0.0529280737,DOGEUSD
2021-03-27,FTXU,0.054854,0.0557,0.054114,0.054864,31430,22,0.0544323324,DOGEUSD
2021-03-28,FTXU,0.05435,0.05435,0.0531785,0.0538775,67481,35,0.0539617655,DOGEUSD
2021-03-29,FTXU,0.05435,0.054909,0.0539,0.0543385,520141,31,0.0544089702,DOGEUSD
2021-03-30,FTXU,0.054516,0.0554965,0.05348,0.0544665,257887,45,0.0544854487,DOGEUSD
2021-03-31,FTXU,0.0542405,0.0543455,0.0521275,0.0542135,190458,63,0.0537484801,DOGEUSD
2021-04-01,FTXU,0.0541,0.0704475,0.0541,0.0595105,2866837,457,0.0617497098,DOGEUSD
2021-04-02,FTXU,0.059568,0.0601,0.057495,0.059125,363933,87,0.0584588162,DOGEUSD
2021-04-03,FTXU,0.059125,0.059333,0.0554165,0.0569915,81336,44,0.0573181017,DOGEUSD
2021-04-04,FTXU,0.0567945,0.059491,0.056568,0.0594435,268449,46,0.0577813874,DOGEUSD
2021-04-05,FTXU,0.057753,0.0605685,0.05668,0.059125,1815543,71,0.0592789125,DOGEUSD
2021-04-06,FTXU,0.0592505,0.0673025,0.0584125,0.064995,664385,194,0.0636791409,DOGEUSD
2021-04-07,FTXU,0.065,0.0653915,0.058,0.061333,736780,144,0.0594915997,DOGEUSD
2021-04-08,FTXU,0.061147,0.0621105,0.0600915,0.06147,176949,57,0.0610400096,DOGEUSD
2021-04-09,FTXU,0.0612235,0.0639925,0.060025,0.0619185,241396,64,0.0626459671,DOGEUSD
2021-04-10,FTXU,0.0624115,0.06879,0.06208,0.064896,696040,201,0.0650095738,DOGEUSD
2021-04-11,FTXU,0.06491,0.08,0.064444,0.072029,2627046,554,0.0729984166,DOGEUSD
2021-04-12,FTXU,0.071979,0.0777735,0.068538,0.073917,310202,166,0.0717500132,DOGEUSD
2021-04-13,FTXU,0.074684,0.121122,0.072288,0.111668,9141411,2383,0.0967009427,DOGEUSD
2021-04-14,FTXU,0.112105,0.145931,0.103818,0.1388,20075923,5289,0.1298093963,DOGEUSD
2021-04-15,FTXU,0.13972,0.300426,0.1246665,0.232433,14317309,8360,0.2151114568,DOGEUSD
2021-04-16,FTXU,0.23132,0.4575365,0.23132,0.2808105,24588744,16726,0.3314811577,DOGEUSD
2021-04-17,FTXU,0.2801445,0.3349,0.2322355,0.259,15277602,8516,0.2812200193,DOGEUSD
2021-04-18,FTXU,0.2614285,0.35087,0.2614285,0.3347485,7266452,5868,0.3142528754,DOGEUSD
2021-04-19,FTXU,0.334502,0.436,0.327391,0.415977,16906320,9756,0.3862874897,DOGEUSD
2021-04-20,FTXU,0.415977,0.424032,0.2659965,0.3265055,23544940,11344,0.3452950571,DOGEUSD
2021-04-21,FTXU,0.3262995,0.346412,0.2703335,0.2805615,15949389,4541,0.3112728341,DOGEUSD
2021-04-22,FTXU,0.281934,0.3099655,0.160225,0.2032825,17681373,4215,0.2267746136,DOGEUSD
2021-04-23,FTXU,0.2061215,0.2574605,0.1857965,0.2479895,8617818,2995,0.2356857317,DOGEUSD
2021-04-24,FTXU,0.244716,0.2900135,0.244716,0.2753495,9203305,2165,0.2698195269,DOGEUSD
2021-04-25,FTXU,0.277716,0.280803,0.224848,0.261284,11336249,1459,0.2559246731,DOGEUSD
2021-04-26,FTXU,0.2612835,0.280985,0.2566165,0.267474,2039433,822,0.2707525958,DOGEUSD
2021-04-27,FTXU,0.26772,0.2799995,0.265337,0.2693225,1476721,475,0.2733279437,DOGEUSD
2021-04-28,FTXU,0.26679,0.3455465,0.2564915,0.314754,11015575,3553,0.3096824801,DOGEUSD
2021-04-29,FTXU,0.31608,0.318644,0.296343,0.3113475,3061307,963,0.3059677526,DOGEUSD
2021-04-30,FTXU,0.30892,0.37584,0.307235,0.361919,2716481,2052,0.3380183192,DOGEUSD
2021-05-01,FTXU,0.364545,0.400808,0.346,0.38116,5479571,3371,0.3754054775,DOGEUSD
2021-05-02,FTXU,0.3810385,0.3946425,0.3652905,0.383,2758537,1732,0.3787971985,DOGEUSD
2021-05-03,FTXU,0.382869,0.454267,0.3806065,0.4365065,8892137,5581,0.4201568397,DOGEUSD
2021-05-04,FTXU,0.4378155,0.69,0.4320335,0.6753195,29893549,16239,0.5591217875,DOGEUSD
2021-05-05,FTXU,0.6768935,0.695858,0.525,0.616904,23748840,15666,0.6270894682,DOGEUSD
2021-05-06,FTXU,0.61695,0.626,0.51701,0.5866665,19304606,7649,0.5779205903,DOGEUSD
2021-05-07,FTXU,0.5850905,0.741518,0.5703615,0.738595,23634062,10742,0.6553705689,DOGEUSD
2021-05-08,FTXU,0.74,0.74,0.4627105,0.538889,50913908,14125,0.6102083673,DOGEUSD
2021-05-09,FTXU,0.5425345,0.595,0.422301,0.53731,42772142,15431,0.509344319,DOGEUSD
2021-05-10,FTXU,0.538792,0.5576655,0.42,0.4846695,23295609,7153,0.4751840176,DOGEUSD
2021-05-11,FTXU,0.4855575,0.5463925,0.4603325,0.489849,13260985,4512,0.5029552527,DOGEUSD
2021-05-12,FTXU,0.4923615,0.5222265,0.351,0.438783,34123802,9108,0.4379520518,DOGEUSD
2021-05-13,FTXU,0.4432395,0.53,0.3756745,0.5102155,23224595,7864,0.4365925728,DOGEUSD
2021-05-14,FTXU,0.510546,0.590654,0.5096285,0.5283215,10650520,5907,0.5451039878,DOGEUSD
2021-05-15,FTXU,0.525949,0.548621,0.4920695,0.525949,8901864,3939,0.5181425589,DOGEUSD
2021-05-16,FTXU,0.528532,0.5406095,0.4496925,0.481678,7684581,3637,0.4928156547,DOGEUSD
2021-05-17,FTXU,0.4857575,0.5156625,0.468377,0.5008065,8081738,3016,0.4896777628,DOGEUSD
2021-05-18,FTXU,0.499833,0.5148235,0.382828,0.400655,5621007,3144,0.4553193363,DOGEUSD
2021-05-19,FTXU,0.4038775,0.4298005,0.2160755,0.3499995,28568894,9920,0.330458895,DOGEUSD
2021-05-20,FTXU,0.352768,0.434848,0.3468425,0.3915,9191275,7154,0.3976173421,DOGEUSD
2021-05-21,FTXU,0.393737,0.398193,0.314312,0.3315085,9966427,4146,0.352854142,DOGEUSD
2021-05-22,FTXU,0.3313385,0.3634135,0.316953,0.3454355,6715305,2493,0.3420049954,DOGEUSD
2021-05-23,FTXU,0.3441885,0.3441885,0.249143,0.2986565,8059838,2636,0.2998517248,DOGEUSD
2021-05-24,FTXU,0.3027685,0.380296,0.30059,0.3474385,8895808,3464,0.3507966115,DOGEUSD
2021-05-25,FTXU,0.3475,0.3735625,0.3227845,0.352198,5661003,1871,0.341468961,DOGEUSD
2021-05-26,FTXU,0.3533,0.367,0.327139,0.3335115,4297004,1368,0.3424069369,DOGEUSD
2021-05-27,FTXU,0.3326,0.348146,0.326437,0.332348,3272833,1427,0.3370196715,DOGEUSD
2021-05-28,FTXU,0.334,0.3349175,0.301012,0.3098455,5168048,1724,0.3129069409,DOGEUSD
2021-05-29,FTXU,0.310465,0.3176185,0.2803,0.299692,3022912,1196,0.2946072729,DOGEUSD
2021-05-30,FTXU,0.302374,0.310348,0.294453,0.2955,5391100,851,0.304975959,DOGEUSD
2021-05-31,FTXU,0.297205,0.3458835,0.297205,0.33115,2864767,1260,0.322088259,DOGEUSD
2021-06-01,FTXU,0.335615,0.3841485,0.311684,0.37085,9633652,3327,0.3512409304,DOGEUSD
2021-06-02,FTXU,0.371788,0.448101,0.3657495,0.427976,15463269,5555,0.4116000411,DOGEUSD
2021-06-03,FTXU,0.4293325,0.440896,0.3697465,0.385888,8905960,3620,0.3986178575,DOGEUSD
2021-06-04,FTXU,0.387867,0.396536,0.3504865,0.384303,7199128,3338,0.3711165175,DOGEUSD
2021-06-05,FTXU,0.3851,0.394649,0.360338,0.37443,5626142,1342,0.3722234909,DOGEUSD
2021-06-06,FTXU,0.373396,0.379992,0.366892,0.3735475,551676,289,0.3718692403,DOGEUSD
2021-06-07,FTXU,0.374992,0.374992,0.3170865,0.3269795,5405280,1480,0.3451704472,DOGEUSD
2021-06-08,FTXU,0.326201,0.337292,0.2960485,0.320904,3209252,985,0.3210589126,DOGEUSD
2021-06-09,FTXU,0.321287,0.3539895,0.321287,0.3367405,1280593,831,0.3367897519,DOGEUSD
2021-06-10,FTXU,0.3370045,0.3423015,0.318987,0.326417,3293872,1004,0.3300038566,DOGEUSD
2021-06-11,FTXU,0.32669,0.333259,0.3002115,0.302887,3126305,448,0.3145512874,DOGEUSD
2021-06-12,FTXU,0.3052955,0.318526,0.3026875,0.310617,1115054,461,0.3112890656,DOGEUSD
2021-06-13,FTXU,0.3095125,0.330649,0.3076295,0.3218285,3121413,592,0.3176681853,DOGEUSD
2021-06-14,FTXU,0.325025,0.33774,0.321208,0.329174,2645863,708,0.3306812843,DOGEUSD
2021-06-15,FTXU,0.327736,0.328342,0.3138615,0.3177985,1638756,521,0.3199325638,DOGEUSD
2021-06-16,FTXU,0.3170335,0.3192955,0.30542,0.3117735,2440689,977,0.3102610284,DOGEUSD
2021-06-17,FTXU,0.3110895,0.3132835,0.3,0.305022,7516715,875,0.3044944815,DOGEUSD
2021-06-18,FTXU,0.303,0.3041,0.2803065,0.2890505,5731843,1749,0.2883295441,DOGEUSD
2021-06-19,FTXU,0.2899,0.295757,0.2808445,0.2847755,779762,356,0.2895609618,DOGEUSD
2021-06-20,FTXU,0.284925,0.289353,0.2555775,0.2637345,3266212,1125,0.2723335194,DOGEUSD
2021-06-21,FTXU,0.260946,0.2673445,0.164414,0.202633,28088400,2919,0.1954117329,DOGEUSD
2021-06-22,FTXU,0.2025475,0.2207995,0.1630395,0.2110955,12901700,2232,0.1864905267,DOGEUSD
2021-06-23,FTXU,0.2103305,0.2492695,0.2103305,0.2273725,8110467,1792,0.230390929,DOGEUSD
2021-06-24,FTXU,0.2267935,0.2892275,0.2267935,0.27609,6324084,2483,0.2635285863,DOGEUSD
2021-06-25,FTXU,0.2744175,0.275577,0.2290765,0.254142,14353779,4024,0.2514775447,DOGEUSD
2021-06-26,FTXU,0.254909,0.2550105,0.2311035,0.247528,5834871,1293,0.2401499353,DOGEUSD
2021-06-27,FTXU,0.249379,0.266842,0.2402985,0.2553635,2787522,854,0.2489920468,DOGEUSD
2021-06-28,FTXU,0.2558415,0.262536,0.2508,0.2553125,5224181,792,0.2559481876,DOGEUSD
2021-06-29,FTXU,0.2568685,0.276016,0.248978,0.248978,2817666,1213,0.2667629092,DOGEUSD
2021-06-30,FTXU,0.24895,0.2555365,0.2374945,0.245935,7678568,2625,0.2469313256,DOGEUSD
2021-07-01,FTXU,0.245711,0.2611095,0.2385505,0.242154,5662438,2633,0.249342943,DOGEUSD
2021-07-02,FTXU,0.2419825,0.248421,0.238515,0.24295,1516519,708,0.2435927916,DOGEUSD
2021-07-03,FTXU,0.243954,0.250015,0.243486,0.245897,598343,662,0.2465579387,DOGEUSD
2021-07-04,FTXU,0.2456095,0.252784,0.239855,0.242395,747257,589,0.2476871539,DOGEUSD
2021-07-05,FTXU,0.2413,0.244759,0.2259,0.240571,1280015,936,0.2337911127,DOGEUSD
2021-07-06,FTXU,0.2407495,0.2411895,0.2297645,0.236,6063061,919,0.236058032,DOGEUSD
2021-07-07,FTXU,0.2358525,0.2383095,0.212421,0.217546,4780892,645,0.2271652862,DOGEUSD
2021-07-08,FTXU,0.217807,0.2181245,0.1949565,0.204675,3243688,1355,0.2067674525,DOGEUSD
2021-07-09,FTXU,0.207,0.2294825,0.202007,0.2163635,3738705,1984,0.2193432895,DOGEUSD
2021-07-10,FTXU,0.216213,0.2204895,0.1991195,0.212656,11738465,805,0.2136069827,DOGEUSD
2021-07-11,FTXU,0.2130295,0.223828,0.1984455,0.2164405,20459805,723,0.2130670988,DOGEUSD
2021-07-12,FTXU,0.2156555,0.2186615,0.204249,0.2061385,1487741,1359,0.2076875229,DOGEUSD
2021-07-13,FTXU,0.2053835,0.205802,0.18765,0.190217,6229496,1633,0.1996450818,DOGEUSD
2021-07-14,FTXU,0.190973,0.2043935,0.1885175,0.192841,4758011,1529,0.1983028878,DOGEUSD
2021-07-15,FTXU,0.1926885,0.193994,0.180645,0.186226,5660413,1454,0.1874534613,DOGEUSD
2021-07-16,FTXU,0.185852,0.185852,0.169042,0.1713915,2160349,1366,0.1774622325,DOGEUSD
2021-07-17,FTXU,0.17229,0.205045,0.171128,0.1918875,8903274,3458,0.185325676,DOGEUSD
2021-07-18,FTXU,0.191389,0.1921575,0.1773475,0.180363,5072881,2703,0.1849954713,DOGEUSD
2021-07-19,FTXU,0.18183,0.18183,0.1622,0.1631645,5208424,2590,0.1702218603,DOGEUSD
2021-07-20,FTXU,0.1640465,0.183105,0.16,0.179861,3114570,1681,0.1709585851,DOGEUSD
2021-07-21,FTXU,0.181169,0.2143005,0.1767055,0.191094,15565497,7241,0.1912134406,DOGEUSD
2021-07-22,FTXU,0.19224,0.1951515,0.1871855,0.1951515,2481220,1258,0.1911102528,DOGEUSD
2021-07-23,FTXU,0.1952045,0.1994255,0.183146,0.1940535,2130598,1341,0.1926034487,DOGEUSD
2021-07-24,FTXU,0.1928355,0.204494,0.1915405,0.197691,11338923,2717,0.1968996531,DOGEUSD
2021-07-25,FTXU,0.1978385,0.2306225,0.1922875,0.2266795,3183584,1756,0.2059154851,DOGEUSD
2021-07-26,FTXU,0.2264945,0.232613,0.195368,0.1997555,4189260,2610,0.2162153298,DOGEUSD
2021-07-27,FTXU,0.199419,0.2093735,0.196069,0.2052035,5720068,2586,0.2029702697,DOGEUSD
2021-07-28,FTXU,0.205083,0.2140315,0.201848,0.204824,2140986,1661,0.2069393634,DOGEUSD
2021-07-29,FTXU,0.2046115,0.2103065,0.200583,0.2060145,569124,519,0.2046779053,DOGEUSD
2021-07-30,FTXU,0.2061845,0.2145645,0.195333,0.207629,2875028,1015,0.2062499789,DOGEUSD
2021-07-31,FTXU,0.207726,0.2177585,0.2049255,0.2142285,2508105,1115,0.2082408059,DOGEUSD
2021-08-01,FTXU,0.2149,0.2149,0.200805,0.205488,3239593,1152,0.2091787947,DOGEUSD
2021-08-02,FTXU,0.2054135,0.209768,0.198266,0.1990815,1333112,674,0.204076116,DOGEUSD
2021-08-03,FTXU,0.1983105,0.1996405,0.193166,0.196048,863949,544,0.1961556901,DOGEUSD
2021-08-04,FTXU,0.196338,0.203169,0.1944845,0.1997085,702912,440,0.1996518445,DOGEUSD
2021-08-05,FTXU,0.1996035,0.2015845,0.1948505,0.199781,1733301,392,0.1997333097,DOGEUSD
2021-08-06,FTXU,0.199707,0.2169375,0.199015,0.2123875,2282165,1144,0.2074133258,DOGEUSD
2021-08-07,FTXU,0.2127255,0.283545,0.2118405,0.261102,15207006,6178,0.2510094615,DOGEUSD
2021-08-08,FTXU,0.261159,0.273865,0.230707,0.240447,12680625,4841,0.2522393762,DOGEUSD
2021-08-09,FTXU,0.2406215,0.2667765,0.234626,0.2516775,12423077,4521,0.256548139,DOGEUSD
2021-08-10,FTXU,0.253874,0.264482,0.2454425,0.2615855,11246949,3377,0.2567647353,DOGEUSD
2021-08-11,FTXU,0.2617555,0.29558,0.259852,0.2764455,29270298,8670,0.2805455624,DOGEUSD
2021-08-12,FTXU,0.2794665,0.2810865,0.252,0.2701325,28987462,7273,0.2669461287,DOGEUSD
2021-08-13,FTXU,0.270043,0.2959275,0.269105,0.287515,9745890,3931,0.2822889375,DOGEUSD
2021-08-14,FTXU,0.2877725,0.312347,0.2766255,0.302621,11909821,4988,0.2931641063,DOGEUSD
2021-08-15,FTXU,0.3027815,0.3503885,0.285798,0.337301,22840626,10525,0.3295639733,DOGEUSD
2021-08-16,FTXU,0.337575,0.352064,0.3058265,0.3368,30609309,12443,0.3266779107,DOGEUSD
2021-08-17,FTXU,0.337578,0.3385,0.277257,0.297004,17459643,9673,0.3171918829,DOGEUSD
2021-08-18,FTXU,0.297105,0.325494,0.2842,0.2974,32089600,14559,0.3053196272,DOGEUSD
2021-08-19,FTXU,0.2973,0.3272045,0.295042,0.3180875,14337314,7354,0.312535243,DOGEUSD
2021-08-20,FTXU,0.3178,0.3374675,0.3144,0.323593,31014749,9197,0.3263725215,DOGEUSD
2021-08-21,FTXU,0.3224385,0.329658,0.3125,0.317525,22374174,5685,0.3213515617,DOGEUSD
2021-08-22,FTXU,0.317601,0.3259845,0.3052725,0.3223,10625951,4602,0.3153792877,DOGEUSD
2021-08-23,FTXU,0.323049,0.3281375,0.3112205,0.3150795,8842984,3764,0.3186885212,DOGEUSD
2021-08-24,FTXU,0.31509,0.3173,0.276256,0.289,19074432,6972,0.2955689039,DOGEUSD
2021-08-25,FTXU,0.2901515,0.2971345,0.2797,0.284043,21584284,8092,0.2896322052,DOGEUSD
2021-08-26,FTXU,0.284143,0.285048,0.2643675,0.2690495,37444018,8396,0.2716505399,DOGEUSD
2021-08-27,FTXU,0.2693225,0.299817,0.268673,0.29302,15997327,4406,0.2820851705,DOGEUSD
2021-08-28,FTXU,0.292542,0.292542,0.2775725,0.280347,10229247,2941,0.2869619678,DOGEUSD
2021-08-29,FTXU,0.2798,0.290373,0.2767,0.280326,8863422,2438,0.2822984224,DOGEUSD
2021-08-30,FTXU,0.279806,0.283239,0.269727,0.2732945,14200170,3554,0.2751530214,DOGEUSD
2021-08-31,FTXU,0.273,0.285952,0.2700835,0.277297,7456025,3372,0.2773611612,DOGEUSD
2021-09-01,FTXU,0.2773975,0.3100785,0.2772235,0.3004805,15113132,5787,0.2951121983,DOGEUSD
2021-09-02,FTXU,0.3003605,0.309616,0.286903,0.2975295,12842864,4898,0.299623571,DOGEUSD
2021-09-03,FTXU,0.2969,0.304924,0.2910945,0.296068,16227980,3902,0.2985494113,DOGEUSD
2021-09-04,FTXU,0.2954,0.308809,0.2941,0.3000845,11133791,4328,0.3018018675,DOGEUSD
2021-09-05,FTXU,0.2992,0.316338,0.2966,0.310712,8654418,3605,0.3080981915,DOGEUSD
2021-09-06,FTXU,0.310525,0.3200635,0.300426,0.3053105,13818733,4667,0.3072910147,DOGEUSD
2021-09-07,FTXU,0.3054965,0.3060005,0.210472,0.255249,80307312,17973,0.2558394426,DOGEUSD
2021-09-08,FTXU,0.2562215,0.263046,0.2339,0.2527435,18417386,7396,0.2508947754,DOGEUSD
2021-09-09,FTXU,0.2527,0.2617095,0.248988,0.254401,57886672,13697,0.2553493557,DOGEUSD
2021-09-10,FTXU,0.254552,0.2563215,0.2356,0.241562,15842217,4799,0.2453156819,DOGEUSD
2021-09-11,FTXU,0.2412,0.247791,0.2379,0.241715,5523251,1900,0.2427580301,DOGEUSD
2021-09-12,FTXU,0.2417925,0.2550755,0.2382,0.2403645,6044731,2614,0.2453059907,DOGEUSD
2021-09-13,FTXU,0.2395,0.245145,0.227383,0.236,6100634,2864,0.2363130192,DOGEUSD
2021-09-14,FTXU,0.236054,0.241955,0.2352,0.239448,9877519,2120,0.238674768,DOGEUSD
2021-09-15,FTXU,0.2393,0.2482255,0.2391,0.2467875,4479218,1448,0.2436847756,DOGEUSD
2021-09-16,FTXU,0.2459,0.256422,0.232919,0.252006,10029556,3396,0.242927611,DOGEUSD
2021-09-17,FTXU,0.2521065,0.2596335,0.237541,0.2432,5807952,3705,0.2475061392,DOGEUSD
2021-09-18,FTXU,0.2431,0.2472895,0.238571,0.2398625,959649,778,0.2436567449,DOGEUSD
2021-09-19,FTXU,0.239963,0.241304,0.2190665,0.222747,2250225,1542,0.2298129307,DOGEUSD
2021-09-20,FTXU,0.223604,0.224106,0.1991,0.2064,9871481,4938,0.2083811155,DOGEUSD
2021-09-21,FTXU,0.207145,0.2183855,0.197424,0.203,5558036,3731,0.2059210317,DOGEUSD
2021-09-22,FTXU,0.2037325,0.231215,0.2037325,0.2246,6050328,3861,0.2192152182,DOGEUSD
2021-09-23,FTXU,0.2245,0.2291125,0.2178,0.2213635,2617123,1833,0.2236107073,DOGEUSD
